"date","state","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","hash","dateChecked","death","hospitalized","total","totalTestResults","posNeg","fips","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"20200326","PR","64","377","335","null","null","null","null","null","null","null","f0017006486c2085b91f1f75468f643da3153af8","2020-03-26T20:00:00Z","2","null","776","441","441","72","0","0","60","13","73"
"20200325","PR","51","317","70","null","null","null","null","null","null","null","a29866b5ad6a6ac14b8d352af3b9af315c1f1c63","2020-03-25T20:00:00Z","2","null","438","368","368","72","0","0","49","12","61"
"20200324","PR","39","268","42","null","null","null","null","null","null","null","a4422b62864b4880eb9b5ca60650238cb712aae5","2020-03-24T20:00:00Z","2","null","349","307","307","72","0","0","79","8","87"
"20200323","PR","31","189","35","null","null","null","null","null","null","null","f11fb4d67e27feb9ecd7b591d6c96fd2073b15eb","2020-03-23T20:00:00Z","2","null","255","220","220","72","2","0","6","8","14"
"20200322","PR","23","183","69","","","","","","","","0687c7ff3672264c3265a35d79b30261de725d94","2020-03-22T20:00:00Z","","","275","206","206","72","0","0","40","2","42"
"20200321","PR","21","143","71","","","","","","","","da8e3b5ccde7f2d73b65a882224183f80e407fb8","2020-03-21T20:00:00Z","","","235","164","164","72","0","0","29","7","36"
"20200320","PR","14","114","52","","","","","","","","045b02a40ddf42ca4604f3d36ace4f27f9fa9dd8","2020-03-20T20:00:00Z","","","180","128","128","72","0","0","58","9","67"
"20200319","PR","5","56","29","","","","","","","","aa15323ebfa43315d7dbf51bcabc710f6b5beeeb","2020-03-19T20:00:00Z","","","90","61","61","72","0","0","25","0","25"
"20200318","PR","5","31","21","","","","","","","","2d5405cfdbd83c8717f23b7ebc2f454316248e7c","2020-03-18T20:00:00Z","","","57","36","36","72","0","0","18","0","18"
"20200317","PR","5","13","4","","","","","","","","62bea2a6c0d3c6ef1d1578056f4e0bbc64ebf66a","2020-03-17T20:00:00Z","","","22","18","18","72","0","0","4","0","4"
"20200316","PR","5","9","","","","","","","","","be5aca3aa4f7fa2a722127a99ec083fd3b982671","2020-03-16T20:00:00Z","","","14","14","14","72","null","null","null","null","null"
